,eid,doi,pii,pubmed_id,title,subtype,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor
840,2-s2.0-67349276616,10.1016/j.biocon.2009.03.022,S0006320709001578,,Hematological differences between stingrays at tourist and non-visited sites suggest physiological costs of wildlife tourism,ar,Semeniuk C.,60018491;60015206,Simon Fraser University;Florida International University,Burnaby;Miami,Canada;United States,4,"Semeniuk, Christina A.D.;Bourgeon, Sophie;Smith, Sylvia L.;Rothley, Kristina D.",36948807000;55897009700;7406654259;6603156751,60018491;60018491;60015206;60018491,2009-08-01,August 2009,Biological Conservation,00063207,17244,,Journal,142,8,,1818-1829,"Wildlife tourism alters the environmental conditions in which the focal animal lives, and it is therefore necessary to assess the ability of the animal to adjust to and persist in these novel conditions if the industry is to be sustainable. Here, we report on the physiological responses of southern stingrays (Dasyatis americana) which are the focus of intense marine provisioning-tourism in the Cayman Islands. Using stingrays from non-tourist sites about Grand Cayman as a basis for comparison, we show in this natural experiment that tourist-exposed stingrays exhibit hematological changes indicative of physiological costs of wildlife tourism. The novel conditions with which the stingrays must interact include non-natural food, higher injury rates (from boats, conspecifics and predators), and higher parasite loads (from crowding conditions). As a result of this year-round environment, stingrays display sub-optimal health: lower hematocrit, total serum protein concentrations, and oxidative stress (i.e., lower total antioxidant capacity combined with higher total oxidative status). Moreover, they show evidence of attenuation of the defense system: for tourist stingrays only, animals possessing both injuries and high parasite loads also exhibit lowest leukocrit, serum proteins and antioxidant potential, as well as differing proportions of differential leukocytes indicative of suppression (lymphocytes and heterophils) and down-regulation (eosinophils), thus suggesting that the physiological changes of tourist stingrays are in partial response to these stressors. While survival- and reproduction- quantification was not possible in this long-lived marine species, the physiological measures -situated within ecological context, indicate that the long-term health and survival of tourist stingrays have a significant probability of being affected. Consequently, management of the tourism attraction is essential. The indicators chosen in this study reflect general health indices and defense capabilities used across taxa, and represent a tradeoff between ease of collection/analysis and interpretation so that managers can continue the research for monitoring purposes. © 2009 Elsevier Ltd. All rights reserved.",Cayman Islands | Conservation physiology | Hematology | Physiological costs | Stingray | Wildlife management | Wildlife tourism,74,0,FQRNT,undefined,Fonds Québécois de la Recherche sur la Nature et les Technologies
841,2-s2.0-67651012353,10.1071/MF08280,,,"Nursery grounds, movement patterns and growth rates of dusky sharks, carcharhinus obscurus: A long-term tag and release study in South African waters",ar,Hussey N.,60025779;60024253;60017797;60010499,Bangor University;Oceanographic Research Institute;Natal Sharks Board;University of KwaZulu-Natal,Bangor;Durban;Umhlanga Rocks;Durban,United Kingdom;South Africa;South Africa;South Africa,4,"Hussey, Nigel E.;McCarthy, Ian D.;Dudley, Sheldon F.J.;Mann, Bruce Q.",26655541500;7004965565;7006033453;7101667018,60025779;60025779;60017797-60010499;60024253,2009-07-28,2009,Marine and Freshwater Research,13231650,27846,,Journal,60,6,,571-583,"Knowledge of movement patterns of sharks in coastal waters is critical for the structuring of regional management plans. Through a long-term tagrecapture program, 9716 dusky sharks (Carcharhinus obscurus) were tagged and released along the east coast of South Africa. A total of 648 C. obscurus, principally small sharks (<100 cm PCL), were recaptured. Most recaptures were within 100 km of the tagging location in the nursery habitat in KwaZulu-Natal (KZN) with small scale movements occurring throughout the year. Forty-eight C. obscurus undertook movements >200 km that indicated a southerly migration between KZN and Eastern/Southern Cape (E/SC) between June and November. Seasonal northerly migrations were less well defined. The largest southerly and northerly movements were 1323 km and 1374 km, respectively. For sharks moving 1100 km south from their tagging locality in KZN, an increase in displacement occurred between June and September identifying animals beginning their migration to the E/SC. With increasing displacement, there was also an increase in minimum swimming speed. Calculated growth rates of small sharks of 10.311.5 cm year-1 were in agreement with current literature values. Established tagrecapture programs provide an important tool in understanding the ecology of early life-stages of coastal shark species. © 2009 CSIRO.",Displacement | GROTAG | Migration | Nursery concept | Residency | Tag-recapture.,42,0,,undefined,
842,2-s2.0-68949160761,10.1186/1471-2164-10-319,,19607708,Gene expression patterns in heterozygous Plk4 murine embryonic fibroblasts,ar,Morettin A.,60012468,University of Windsor,Windsor,Canada,4,"Morettin, Alan;Ward, Alejandra;Nantais, Jordan;Hudson, John W.",33067991400;33068444900;26021433400;36888424400,60012468;60012468;60012468;60012468,2009-07-16,16 July 2009,BMC Genomics,,21727,14712164,Journal,10,,319,,"Background: The polo-like kinases (Plks) are a group of serine/threonine kinases which have roles in many aspects of cellular function including the regulation of mitotic activity and cellular stress responses. This study focuses on Plk4, the most divergent member of the Plk family, which is necessary for proper cellular proliferation. More specifically, alterations in Plk4 levels cause significantly adverse mitotic defects including abnormal centrosome duplication and aberrant mitotic spindle formation. We sought to clarify the effect of reduced Plk4 levels on the cell by examining transcript profiles of Plk4 wild-type and heterozygous mouse embryonic fibroblasts (MEFs). Subsequently, the levels of several key proteins involved in the DNA damage response were examined. Results: 143 genes were found to be significantly up-regulated in the heterozygous MEFs compared to their wild-type counterparts, while conversely, 9 genes were down-regulated. Numerous genes with increased transcript levels in heterozygous MEFs were identified to be involved in p53-dependent pathways. Furthermore, examination of the promoter regions of all up- and down-regulated genes revealed that the majority contained putative p53 responsive elements. An analysis of transcript levels in MEFs after exposure to either ionizing or ultraviolet radiation revealed a significant change between wild type and heterozygous MEFS for Plk4 transcript levels upon only UV exposure. Furthermore, changes in protein levels of several important cell check-point and apoptosis regulators were examined, including p53, Chk1, Chk2, Cdc25C and p21. In heterozygous MEFs, p53, p21 and Chk2 protein levels were at significantly higher levels. Furthermore, p53 activity was increased 5 fold in the Plk4 heterozygous MEFs. Conclusion: Global transcript profiles and levels of key proteins involved in cellular proliferation and DNA damage pathways were examined in wild-type and Plk4 heterozygous MEFs. It was determined that Plk4 haploinsufficiency leads to changes in the levels of RNA accumulation for a number of key cellular genes as well as changes in protein levels for several important cell cycle/DNA damage proteins. We propose a model in which reduced Plk4 levels invoke an increase in p53 levels that leads to the aforementioned changes in global transcription profiles. © 2009 Morettin et al; licensee BioMed Central Ltd.",,9,1,,undefined,
843,2-s2.0-67449100597,10.1002/dvg.20449,,19006070,xArx2: An aristaless homolog that regulates brain regionalization during development in Xenopus laevis,ar,Wolanski M.,60080013;60012468,Research Institute at Nationwide Childrens Hospital;University of Windsor,Columbus;Windsor,United States;Canada,5,"Wolanski, Marian;KhosrowShahian, Farhad;Kelly, Lisa E.;El-Hodiri, Heithem M.;Crawford, Michael J.",14023803300;6508203853;10144514300;6602676352;7402706439,60012468;60012468;60080013;60080013;60012468,2009-07-01,2009,Genesis,1526954X,22142,1526968X,Journal,47,1,,19-31,"The aristaless-related gene, Arx, plays a fundamental role in patterning the brain in humans and mice. Arx mutants exhibit lissencephaly among other anomalies. We have cloned a Xenopus aristaless homolog that appears to define specific regions of the developing forebrain. xArx2 is transcribed in blastula through neurula stages, and comes to be restricted to the ventral and lateral telencephalon, lateral diencephalon, neural floor plate of the anterior spinal cord, and somites. In this respect, Arx2 expresses in regions similar to Arx with the exception of the somites. Overexpression enlarges the telencephalon, and interference by means of antisense morpholino-mediated translation knockdown reduces growth of this area. Overexpression and inhibition studies demonstrate that misregulation of xArx2 imposes dire consequences upon patterns of differentiation not only in the forebrain where the gene normally expresses, but also in more caudal brain territories and derivatives as well. This suggests that evolutionary changes that expanded Arx-expression from ventral to dorsal prosencephalon might be one of the determinants that marked development and expansion of the telencephalon. © 2008 Wiley-Liss, Inc.",Arx2 | Embryogenesis | Evolution | Homeobox | Lissencephaly | Morpholino | Neural development | Telencephalon | Xenopus laevis | XSLAG,3,0,,undefined,
844,2-s2.0-67349233095,10.1016/j.ejcb.2009.03.001,S0171933509002179,19395121,The germline stem cells of Drosophila melanogaster partition DNA non-randomly,ar,Karpowicz P.,60016849,University of Toronto,Toronto,Canada,6,"Karpowicz, Phillip;Pellikka, Milena;Chea, Evelyn;Godt, Dorothea;Tepass, Ulrich;van der Kooy, Derek",57203313410;8616885700;26434279100;6701775695;7003804049;7004889239,60016849;60016849;60016849;60016849;60016849;60016849,2009-07-01,July 2009,European Journal of Cell Biology,01719335,18531,,Journal,88,7,,397-408,"The Immortal Strand Hypothesis proposes that asymmetrically dividing stem cells cosegregate chromatids to retain ancestral DNA templates. Using both pulse-chase and label retention assays, we show that non-random partitioning of DNA occurs in germline stem cells (GSCs) in the Drosophila ovary as these divide asymmetrically to generate a new GSC and a differentiating cystoblast. This process is disrupted when GSCs are forced to differentiate through the overexpression of Bag of Marbles, a factor that impels the terminal differentiation of cystoblasts. When Decapentaplegic, a ligand which maintains the undifferentiated state of GSCs, is expressed ectopically the non-random partitioning of DNA is similarly disrupted. Our data suggest asymmetric chromatid segregation is coupled to mechanisms specifying cellular differentiation via asymmetric stem cell division. © 2009 Elsevier GmbH. All rights reserved.",Asymmetric division | Chromosomes | Stem cells,22,0,,undefined,
845,2-s2.0-67649195032,10.3354/meps07918,,,The condition conundrum: application of multiple condition indices to the dusky shark Carcharhinus obscurus,ar,Hussey N.,60025779;60017797;60010499,Bangor University;Natal Sharks Board;University of KwaZulu-Natal,Bangor;Umhlanga Rocks;Durban,United Kingdom;South Africa;South Africa,5,"Hussey, Nigel E.;Cocks, David T.;Dudley, Sheldon F.J.;McCarthy, Ian D.;Wintner, Sabine P.",26655541500;26655433200;7006033453;7004965565;6602834373,60025779;60025779;60017797-60010499;60025779;60017797-60010499,2009-06-29,2009,Marine Ecology Progress Series,01718630,12169,,Journal,380,,,199-212,"Measuring fish condition has become a standard practice in the management of fishes, both at the individual and population level. The comparative application of several condition indices to sharks, however, has not yet received a rigorous evaluation. Data for a total of 2120 dusky sharks Carcharhinus obscurus (Lesueur, 1818), ranging in size from newborns (≤79 cm precaudal length [PCL]) to mature adults (≥210 cm PCL), were used to calculate seasonal trends in condition and to facilitate index comparisons. Four commonly used condition measures were selected, including a somatic measure, hepatosomatic index (HSI), and 3 morphometric measures, condition factor (CF), relative condition (Kn) and residual condition (RrPCL). The effect of month was significant for most condition analyses by size class, sex and reproductive state. HSI was found to be the most sensitive index and rapid indicator of condition, but its appropriate use requires the disaggregation of data by clearly defined life stages and reproductive states. The relatively large liver size of neonates and the relatively small liver size of pregnant and postpartum females may otherwise bias interpretations of seasonal variations in condition. HSI was also affected by increasing size of the animal, which confounds inter-size-class comparisons and may require the further division of life-stage data into additional size classes. The results of the 3 morphometric measures were comparable but were not correlated with HSI. CF, Kn and Rr PCL lagged behind HSI, were unable to differentiate between neonate and juvenile animals and were insensitive to short-term variations. The effect of increasing size did not affect calculated CF and RrPCL, but Kn demonstrated a negative correlation. The fact that large predators may consume large volumes of food in a single feeding event was identified as a possible complicating factor in interpreting condition indices. © Inter-Research 2009.",Carcharhinus obscurus | Condition factor | Hepatosomatic index | Morphometric condition indices | Ontogenetic variation,14,1,,undefined,
846,2-s2.0-67650306428,10.1139/F09-048,,,Declining lake trout (Salvelinus namaycush) energy density: Are there too many salmonid predators in the Great Lakes?,ar,Paterson G.,60031024;60023098;60012468,"Trent University;Great Lakes Laboratory for Fisheries and Aquatic Sciences, Fisheries and Oceans Canada;University of Windsor",Peterborough;Burlington;Windsor,Canada;Canada;Canada,4,"Paterson, Gordon;Whittle, D. Michael;Drouillard, Kenneth G.;Haffner, G. Douglas",7005892778;35546277200;6603936268;7006621306,60012468-60031024;60023098;60012468;60012468,2009-06-01,June 2009,Canadian Journal of Fisheries and Aquatic Sciences,0706652X,12016,,Journal,66,6,,919-932,"This study used long-term biomonitoring data on lake trout (Salvelinus namaycush) collected from Lakes Erie, Ontario, Huron, and Superior between 1995 and 2004 to investigate latitudinal and temporal trends in body mass and energy density of this top predator in the Great Lakes. Lake trout average body mass and energy density were observed to have negative relationships with latitude that primarily reflected patterns in lake productivities. Temporal declines in energy density occurred for >80% of all lake trout age classes collected from each of the four lakes between 1995 and 2004. von Bertalanffy (VBL) growth models describing the relationships between fish energy density and age demonstrated decreased growth of lake trout energy density during 2000-2004 relative to 1995-1999. VBL growth coefficients (k) and the slopes describing the rates of change in lake trout energy density were negatively correlated with the total number of lake trout and salmonid individuals released into these lakes during this study. We hypothesize that the temporal declines in lake trout body mass and energy density are a manifestation of a bioenergetic bottleneck for this species due to their inability to efficiently compete with non-native salmonids for depleted prey populations.",,23,0,,undefined,
847,2-s2.0-67349110178,10.1016/j.chemosphere.2009.02.013,S0045653509001805,19268340,Evidence for bioamplification of nine polychlorinated biphenyl (PCB) congeners in yellow perch (Perca flavascens) eggs during incubation,ar,Daley J.,60012468,University of Windsor,Windsor,Canada,3,"Daley, Jennifer M.;Leadley, Todd A.;Drouillard, Ken G.",26039046200;6503986167;6603936268,60012468;60012468;60012468,2009-06-01,June 2009,Chemosphere,00456535,24657,,Journal,75,11,,1500-1505,"This study investigated bioamplification of polychlorinated biphenyls (PCBs) in yellow perch (Perca flavescens) eggs resulting from nutrient utilization by developing embryos during incubation. Newly fertilized eggs containing trace levels of PCBs via maternal deposition were collected from an aquaculture pond in which adult broodstock had been reared over their natural lives. The eggs were incubated using a flow through system that received the same pond water at in-situ temperatures from which they were spawned. Replicate samples of eggs were collected at six time points throughout incubation, ranging from day 0 (newly fertilized eggs) to post-hatch larvae (2-d old). Congener specific PCB fugacities in pooled egg samples showed increases over the incubation period. Just prior to hatching, incubated eggs averaged 2.7-fold higher PCB fugacities compared to fresh eggs. The increase in PCB fugacity with egg incubation time was independent of chemical KOW. After hatching, PCB residues were lost from the larvae, attenuating the maximum chemical fugacity achieved in late-incubated eggs. However, the rate of PCB elimination in the early larvae stages was KOW dependent such that a significant larvae/egg fugacity ratio was still evident for intermediate and highly hydrophobic compounds 2 d post-hatching. This study provides the first evidence of in-ovo PCB bioamplification in eggs of an aquatic species and suggests that incubating fish embryos are exposed to higher chemical fugacities in-ovo than would be predicted by maternal deposition alone. © 2009 Elsevier Ltd. All rights reserved.",Bioaccumulation | Bioamplification | Fish Embryo | In-ovo exposure | Toxicokinetics,37,0,,undefined,
848,2-s2.0-67349287829,10.1007/s00338-009-0484-x,,,"Connectivity, biodiversity conservation and the design of marine reserve networks for coral reefs",re,Almany G.,60019870;60012468;60004317,"James Cook University, Australia;University of Windsor;Great Barrier Reef Marine Park Authority",Townsville;Windsor;Townsville,Australia;Canada;Australia,9,"Almany, G. R.;Connolly, S. R.;Heath, D. D.;Hogan, J. D.;Jones, G. P.;McCook, L. J.;Mills, M.;Pressey, R. L.;Williamson, D. H.",6602955917;7101705349;7202415305;8853347100;7406140483;6701840015;36509148300;7006823219;7402435346,60019870;60019870;60012468;60012468;60019870;60004317;60019870;60019870;60019870,2009-06-01,June 2009,Coral Reefs,07224028,26825,,Journal,28,2,,339-351,"Networks of no-take reserves are important for protecting coral reef biodiversity from climate change and other human impacts. Ensuring that reserve populations are connected to each other and non-reserve populations by larval dispersal allows for recovery from disturbance and is a key aspect of resilience. In general, connectivity between reserves should increase as the distance between them decreases. However, enhancing connectivity may often tradeoff against a network's ability to representatively sample the system's natural variability. This ""representation"" objective is typically measured in terms of species richness or diversity of habitats, but has other important elements (e.g., minimizing the risk that multiple reserves will be impacted by catastrophic events). Such representation objectives tend to be better achieved as reserves become more widely spaced. Thus, optimizing the location, size and spacing of reserves requires both an understanding of larval dispersal and explicit consideration of how well the network represents the broader system; indeed the lack of an integrated theory for optimizing tradeoffs between connectivity and representation objectives has inhibited the incorporation of connectivity into reserve selection algorithms. This article addresses these issues by (1) updating general recommendations for the location, size and spacing of reserves based on emerging data on larval dispersal in corals and reef fishes, and on considerations for maintaining genetic diversity; (2) using a spatial analysis of the Great Barrier Reef Marine Park to examine potential tradeoffs between connectivity and representation of biodiversity and (3) describing a framework for incorporating environmental fluctuations into the conceptualization of the tradeoff between connectivity and representation, and that expresses both in a common, demographically meaningful currency, thus making optimization possible. © 2009 Springer-Verlag.",Conservation planning | Great Barrier Reef | Larval dispersal | Marine protected area | Resilience | Risk-spreading,215,0,,undefined,
849,2-s2.0-66149149498,10.1111/j.1095-8649.2009.02256.x,,20735672,"No barriers to gene flow among sympatric polychromatic 'small' telmatherina antoniae from lake Matano, Indonesia",ar,Walter R.,60012468,University of Windsor,Windsor,Canada,3,"Walter, R. P.;Haffner, G. D.;Heath, D. D.",7201765598;7006621306;7202415305,60012468;60012468;60012468,2009-05-01,May 2009,Journal of Fish Biology,00221112,22560,10958649,Journal,74,8,,1804-1815,"Genetic divergence, assortative courtship and intermale aggression were assessed between sympatric colour morphs of the sailfin silverside Telmatherina antoniae, endemic to Lake Matano, Indonesia. Genetic analysis using microsatellite markers showed no barriers to gene flow among T. antoniae primary colour morphs (blue and yellow) within sampling sites, sympatric populations or at the lake-wide level. Low but significant genetic differentiation was found between yellow morphs and mixed (blue-yellow) morphs. Behavioural surveys indicated assortative courtship does occur along primary colour lines; however, intermale aggression among paired and intruding male morphs appeared equal with respect to male colour. These observations support the hypothesis that males view other males as threats to their courtship regardless of their colour. This study supports recent work suggesting that assortative mating is present in T. antoniae despite a lack of reproductive isolation among colour morphs. © 2009 The Fisheries Society of the British Isles.",Colour | Gene flow | Intermale aggression | Lake Matano | Microsatellites | Telmatherina,8,0,,undefined,
850,2-s2.0-65449129225,10.1111/j.1095-8649.2009.02210.x,,20735645,Secondary sexual characters and sperm traits in coho salmon oncorhynchus kisutch,ar,Pitcher T.,60012468,University of Windsor,Windsor,Canada,4,"Pitcher, T. E.;Doucet, S. M.;Beausoleil, J. M.J.;Hanley, D.",7005614209;7003298791;36999281300;36010363200,60012468;60012468;60012468;60012468,2009-05-01,May 2009,Journal of Fish Biology,00221112,22560,10958649,Journal,74,7,,1450-1461,"A study was undertaken to examine secondary sexual characters (spawning colouration and overall body size) in relation to sperm metrics in one alternative reproductive tactic of coho salmon Oncorhynchus kisutch: large hooknose males that spawn in dominance-based hierarchies. Males with less intense red spawning colouration had higher sperm velocities than males with darker red spawning colouration. There was no relationship between male body size and sperm metrics. These results suggest that within an alternative reproductive tactic, variation in sperm competition intensity may select for a trade-off between investment in sexual colouration and sperm quality.",Longevity | Motility | Sexual selection | Sperm competition | Sperm quality,47,0,,undefined,
851,2-s2.0-64549104177,10.1016/j.anbehav.2009.01.037,S0003347209000967,,"Strong ungraded responses to playback of solos, duets and choruses in a cooperatively breeding Neotropical songbird",ar,Bradley D.,60012468,University of Windsor,Windsor,Canada,2,"Bradley, David W.;Mennill, Daniel J.",24074289400;6603983826,60012468;60012468,2009-05-01,May 2009,Animal Behaviour,00033472,24580,,Journal,77,5,,1321-1327,"Coordinated vocal displays of cooperatively breeding animals provide a compelling model for investigating the opposing motivations for engaging in conflict versus cooperative behaviours. Hypotheses for the function of coordinated vocal displays differ with respect to these motivations and have been traditionally investigated by using playback to simulate varying degrees of threat to individuals and groups. We evaluated the function of coordinated vocal displays by presenting territorial groups of cooperatively breeding rufous-naped wrens, Campylorhynchus rufinucha, with three playback stimuli: solos, duets and choruses. We found that all groups responded strongly to playback by approaching the loudspeaker together, vocalizing, and performing visual displays. A composite playback response measure showed significantly more aggressive reactions to all playback treatments compared to a preplayback control period, yet did not vary across solo, duet and chorus treatments. This suggests that the playback stimuli represented equally strong threats despite the varying numbers of contributors to each stimulus, and does not support the hypothesis that coordinated vocalizations are graded signals of threat in this species. Our findings stand in contrast to previous playback studies that have reported an increase in aggression with an increasing number of simulated intruders, or an increase in coordinated vocalizations in response to solo playback. We interpret the results of our study as evidence that coordinated vocalizations function in the cooperative behaviour of joint territory defence in the rufous-naped wren. © 2009 The Association for the Study of Animal Behaviour.",bird song | Campylorhynchus rufinucha | chorus | duet | playback | rufous-naped wren,20,0,,undefined,Government of Ontario
852,2-s2.0-64649088381,10.1111/j.1472-4642.2008.00550.x,,,"Detection of a colonizing, aquatic, non-indigenous species",ar,Harvey C.,60012468,University of Windsor,Windsor,Canada,3,"Harvey, Chad T.;Qureshi, Samir A.;MacIsaac, Hugh J.",7202114006;26434520000;7004824705,60012468;60012468;60012468,2009-05-01,May 2009,Diversity and Distributions,13669516,14551,14724642,Journal,15,3,,429-437,"Detecting the presence of rare species has interested ecologists and conservation biologists for many years. A particularly daunting application of this problem pertains to the detection of non-indigenous species (NIS) as they colonize new ecosystems. Ethical issues prevent experimental additions of NIS to most natural systems to explore the relationship between sampling intensity and the detection probability of a colonizing NIS. Here we examine this question using a recently introduced water flea, Cercopagis pengoi, in Lake Ontario. The species has biphasic population development, with sexually-produced 'spring morphs' developing prior to parthenogenetically-produced 'typical' morphs. Thus, this biphasic morphology allows distinction between new colonists (spring morphs) from subsequent generations. We repeatedly sampled Hamilton Harbour, Lake Ontario for the presence of both spring and typical morphs. Probability of detection was positively related to both the number of samples taken and animal density in the lake; however, even highly intensive sampling (100 samples) failed to detect the species in early spring when densities were very low. Spatial variation was greatest when densities of Cercopagis were intermediate to low. Sub-sampling, which increased space between adjacent samples, significantly decreased the number of samples required to reach greater, calculated detection probabilities on these dates. Typical sampling protocols for zooplankton have a low probability (< 0.2) of detecting the species unless population density is high. Results of this study suggest that early detection of colonizing, aquatic NIS may be optimized through use of a risk-based sampling design, combined with high sampling intensity in areas deemed most vulnerable to invasion, rather than less intensive sampling at a wider array of sites. © 2009 Blackwell Publishing Ltd.",Biological invasions | Colonization | Detection | Invasive species | Non-indigenous species | Rare species | Sampling intensity,38,0,,undefined,
853,2-s2.0-67149084353,10.1086/597548,,19341350,Shifts in metabolic demands in growing altricial nestlings illustrate context-specific relationships between basal metabolic rate and body composition,ar,Vézina F.,60018491;60004026,Simon Fraser University;Université du Québec à Rimouski,Burnaby;Rimouski,Canada;Canada,4,"Vézina, Fraņois;Love, Oliver P.;Lessard, Mylaine;Williams, Tony D.",6602825518;6603082825;26647601000;7404172708,60018491-60004026;60018491;60018491;60018491,2009-05-01,May 2009,Physiological and Biochemical Zoology,15222152,23318,,Journal,82,3,,248-257,"Basal metabolic rate (BMR) in animals is interpreted as reflecting the size and metabolic intensity of energy-consuming tissues. However, studies investigating relationships between the mass of specific organs and interindividual variation in BMR have produced inconsistent patterns with regard to which organs have the largest impact on BMR variation. Because of the known flexibility in organ mass and metabolic intensity within individual organs, relationships between BMR and body- composition variables are bound to be context specific. Altricial nestlings are excellent models to illustrate this phenomenon because of the extreme variation in body composition occurring during growth. Using European starlings at three age classes, we studied changes in body composition together with its effect on variation in resting metabolic rate (RMR) in order to highlight the context-specific nature of these relationships. Our data suggest a transition in metabolic costs during growth in starling nestlings. During the linear phase of growth, energy is mainly consumed by tissue-synthesis processes, with fast-growing organs having a large influence on RMR. In the plateau phase of growth, the energy expenditure is transferred to functional costs, with high-intensity organs having a predominant effect on RMR variation. Our data illustrates the context-specific nature of organ mass-metabolic rate correlations, which complicates inter- and intraspecific comparisons of BMR. In the future, such comparisons must be done while taking the physiological state of the study animal into account. © 2009 by The University of Chicago.",,18,0,,undefined,
854,2-s2.0-60449087044,10.1007/s10750-008-9671-y,,,"Consistent, long-term change in rotifer community composition across four Polish lakes",ar,Steinberg A.,60087493;60012468,Centre for Ecological Research of the Polish Academy of Sciences in Dziekanów Lesny;University of Windsor,Lomianki;Windsor,Poland;Canada,5,"Steinberg, Ashley J.;Ejsmont-Karabin, Jolanta;Muirhead, Jim R.;Harvey, Chad T.;MacIsaac, Hugh J.",16234467100;6701719024;7004171812;7202114006;7004824705,60012468;60087493;60012468;60012468;60012468,2009-05-01,May 2009,Hydrobiologia,00188158,15168,15735117,Journal,624,1,,107-114,"Few studies exist documenting changes in rotifer communities over long time intervals. Here, we explore seasonal and long-term variation in rotifer communities in four Polish lakes sampled in 1976 and again in 1997. Rarefied, asymptotic species richness did not differ significantly across study years, although values in 1997 tended to be higher. Simpson's and Shannon-Wiener diversity measures provided inconsistent temporal results, with only the former indicating significantly higher richness in 1997. Sorensen's coefficient of community similarity was as high among lakes in 1976 (0.81) and in 1997 (0.76) as within lakes across the 21-year span (0.77). Nonlinear redundancy analysis of species' abundances revealed large, consistent seasonal changes across lakes, smaller consistent shifts between sampling periods, and small differences between lakes. Collectively, these metrics indicate that species composition was relatively stable among lakes within years and within lakes between years, while species' abundance patterns were far more variable and most affected by season. © 2008 Springer Science+Business Media B.V.",Biodiversity | Ordination | Rotifer communities | Species richness,6,0,DFO,undefined,Fisheries and Oceans Canada
855,2-s2.0-65249179391,10.1021/es802567p,,19475962,A combined food web toxicokinetic and species bioenergetic model for predicting seasonal PCB elimination by yellow perch (Perca flavescens),ar,Drouillard K.,60031024;60012468,Trent University;University of Windsor,Peterborough;Windsor,Canada;Canada,3,"Drouillard, Ken G.;Paterson, Gordon;Haffner, G. Douglas",6603936268;7005892778;7006621306,60012468;60031024;60012468,2009-04-15,15 April 2009,Environmental Science and Technology,0013936X,21537,15205851,Journal,43,8,,2858-2864,"A commonly used toxicokinetic model was coupled to a bioenergetic submodel optimized for yellow perch and an empirical growth submodel to predict daily PCB elimination flux in three size classes of fish under seasonally variable temperatures. Across seasons, the bioenergetic model predicted highly variable gill ventilation and fecal egestion rates which varied by 74.2-111.2 fold and 35-65 fold, respectively, over the annual cycle. The empirical growth model accounted for seasonal trends in overwintering lipid losses evident for all fish size classes and growth, evident only for the small fish size class, during warm water periods. The toxicokinetic model described seasonal trends in congener specific PCB mass balance of fish, but tended to overestimate PCB elimination for less hydrophobic congeners when the recommended gill transfer efficiency term (EW) of 0.54 was used. Downward adjustment of E W to an average value of 0.14 produced the strongest model fit for several low KOW PCBs but had less effect on model performance for mid-to high KOW congeners. The toxicokinetic model was less sensitive to parameters involved in fecal elimination of PCBs when applied to low and mid-KOW PCBs. This study demonstrates the importance of seasonal trends in metabolic rate, growth, and overwintering weight loss as factors that modify PCB toxicokinetics in temperate fish. © 2009 American Chemical Society.",,26,0,,undefined,
856,2-s2.0-65349097327,10.1098/rsif.2008.0395.focus,,19336344,Iridescence: A functional perspective,re,Doucet S.,60012468;60003892,University of Windsor;Arizona State University,Windsor;Tempe,Canada;United States,2,"Doucet, Stéphanie M.;Meadows, Melissa G.",7003298791;26533233400,60012468;60003892,2009-04-06,6 April 2009,Journal of the Royal Society Interface,17425689,4000151907,17425662,Journal,6,SUPPL. 2,,,"In animals, iridescence is generated by the interaction of light with biological tissues that are nanostructured to produce thin films or diffraction gratings. Uniquely among animal visual signals, the study of iridescent coloration contributes to biological and physical sciences by enhancing our understanding of the evolution of communication strategies, and by providing insights into physical optics and inspiring biomimetic technologies useful to humans. Iridescent colours are found in a broad diversity of animal taxa ranging from diminutive marine copepods to terrestrial insects and birds. Iridescent coloration has received a surge of research interest of late, and studies have focused on both characterizing the nanostructures responsible for producing iridescence and identifying the behavioural functions of iridescent colours. In this paper, we begin with a brief description of colour production mechanisms in animals and provide a general overview of the taxonomic distribution of iridescent colours. We then highlight unique properties of iridescent signals and review the proposed functions of iridescent coloration, focusing, in particular, on the ways in which iridescent colours allow animals to communicate with conspecifics and avoid predators. We conclude with a brief overview of non-communicative functions of iridescence in animals. Despite the vast amount of recent work on animal iridescence, our review reveals that many proposed functions of iridescent coloration remain virtually unexplored, and this area is clearly ripe for future research. © 2009 The Royal Society.",Behaviour | Communication | Function | Iridescence | Predation | Sexual selection,172,1,,undefined,
